repo,sha,author,date,message,additions,deletions,total_changes,url
keras-team/keras,032528babea6ba938676375e488604d9ddcf00cd,SamareshSingh,2025-11-14 15:22:00+00:00,"Fix name_scope_stack AttributeError and IndexError in __exit__ (#21834)

* Fix name_scope_stack AttributeError and IndexError in __exit__

- Add guard clauses to handle None and empty stack cases in name_scope.__exit__
- Prevents AttributeError when name_scope_stack is None (e.g., thread-local state cleared)
- Prevents IndexError when name_scope_stack is empty
- Add comprehensive tests for None stack, empty stack, multithreading scenarios
- Fixes #21831

* Address code review comments

- Simplify check to use idiomatic 'if name_scope_stack:' instead of explicit None and length checks
- Remove unnecessary try-except blocks in tests (tests fail automatically on unexpected exceptions)
- Use self.assertEqual() directly in multithreaded test for clearer assertions

* chore: Update generated API files

* fix: Apply formatting changes

---------

Co-authored-by: SamareshSingh <ssam3003@gmail.com>",87,1,88,https://github.com/keras-team/keras/commit/032528babea6ba938676375e488604d9ddcf00cd
keras-team/keras,39c475b776ea08839bf30abdd918330da95c582c,Abhinavexists,2025-11-14 09:39:11+00:00,Fix typo in variable name 'embeding' to 'embedding' (#21845),3,3,6,https://github.com/keras-team/keras/commit/39c475b776ea08839bf30abdd918330da95c582c
keras-team/keras,2730d5214f6804358f667f2ef5ad76e704a08a1b,kharshith-k,2025-11-13 19:32:36+00:00,"Run tests on TPU (#21425)

* added requirements-tensorflow-tpu.txt and tpu configuration in .kokoro

* updated .kokoro/github/ubuntu/tpu/build.sh with jax and torch backend configs

* Changed the tpu CI config files path to .github from .kokoro

* Added new job in .github/workflows/actions.yml to run TPU tests

* fixed runs-on option in acvtions.yml for tpu_build job to run on self hosted TPU based runner

* Added another runner in the actions TPU job

* Update continuous.cfg

updated build file path

* Update presubmit.cfg

updated build file path

* Update actions.yml

Updated tpu_build job of actions.yml with specific runner label

* Developed Dockerfile for TPU build job in actions.yml

* Update actions.yml

Added container section

* Included few more runners in tpu_build job

* Using linux-x86-ct6e-44-1tpu

* Modified requirement-commmon.txt and updated requirements-tensorflow-tpu.txt

* Added Dtypes_TPU_tests.py and requirements-jax-tpu.txt

* Progress bar now handles `steps_per_execution`. (#21422)

Progress bar would always report the starting batch + 1 at the end of the batch. Now it takes into account `steps_per_execution` for the last batch reported.

Fixes https://github.com/keras-team/keras/issues/20861

* Fix symbolic call of `logsumexp` with int axis. (#21428)

Using `keras.ops.math.logsumexp` with an int for `axis` in a functional model would throw an error.

* Only allow deserialization of `KerasSaveable`s by module and name. (#21429)

Arbitrary functions and classes are not allowed.

- Made `Operation` extend `KerasSaveable`, this required moving imports to avoid circular imports
- `Layer` no longer need to extend `KerasSaveable` directly
- Made feature space `Cross` and `Feature` extend `KerasSaveable`
- Also dissallow public function `enable_unsafe_deserialization`

* commented tensorflow deps

* Added log of dtypes_test_tpu.py and the test script for the same

* modified dtypes_test_tpu.py as per pre-commit standards

* Added TPU initiaization and teardown functionalities in conftest.py, developed dtypes_new_test.py to use requires_tpu marker

* Added dtypes_test_TPU.py and dtypes_new_test.py, modified conftest.py

* Added Dcokerfile and tests list command

* Updated Dockerfile

* Restored Dockerfile to previous changes

* updated actions.yml file to install and configure docker engine on self hosted runner, build the image and check TPU support on jax backend

* updated actions.yml file to include container option

* updated actions.yml file to include container option without volume binding

* updated actions.yml file to change TPU

* Updated container path in build-and-test-on-tpu job

* seperated TPU workflow from actions.yml

* updated trigger condition for TPU tests workflow

* updated container usage configuration for TPU tests workflow

* updated env vars for TPU tests workflow

* updated env vars parsing syntax in TPU tests workflow

* updated env vars syntax in TPU tests workflow

* updated env vars syntax in TPU tests workflow

* updated env vars syntax in TPU tests workflow

* updated env vars syntax in TPU tests workflow

* updated image name in TPU tests workflow

* updated image name with generic ubuntu image

* updated tpu-tests to use ghcr

* updated tpu-tests to store built image as local tar

* updated image name from ubuntu:22.04 to docker:24.0-cli in tpu tests workflow

* updated image name from docker:24.0-cli to ubuntu:22.04  in tpu tests workflow and added a step to install docker client

* added volume mount from host in load-and-test-job

* Reverted tpu-tests.yml to version using ghcr.io for image storage

* Removed custom dtypes_test files for TPU testing and restored original actions.yml

* Updated tpu-tests.yml to pull image from GCP artifact registry

* Resolved conflicts in actions.yml

* Added a workflow to check service accounts associated with self hosted runners

* Made find_sa.yml specific to linux-x86-ct6e-44-1tpu

* Added container tag to find_sa.yml

* Checking SA for linux-x86-ct5lp-112-4tpu

* Checking SA for linux-x86-ct6e-44-1tpu-nxgm7-runner-vb87c

* Using SA for auth in tpu-tests

* Updated SA with container tag for auth in tpu-tests

* Added docker socket mount test

* Updated tpu-tests to just pull and test the image from artifact registry after attaching service accounts as IAM policies

* Added pytest command to the workflow

* added grain installation command

* Pruned unwanted files

* included grain in requirements.txt

* Updated tpu-tests.yml to use python image and explicitly install specific backend deps

* Renamed tpu-tests to tpu-tests-jax and logging TPU device kind

* Added a step to check gcloud installation

* Running pytest on generic tpu workflow

* Made changes as per suggestions in PR

* Fixed error in action file

* Added a job in tpu workflow to persist failed tests list

* using requirements-jax-tpu.txt

* Reverted the tpu-tests-jax.yml

* Removed a command line option in tpu workflow file

* Removed uninstall step from tpu workflow job

* reverted tensorflow version in requirements file

* Updated the tpu workflow to skip failing tests

* Clean up TPU tests workflow by removing comment

Removed commented out pip uninstall command from workflow.

* Changed the failed tests file path and updated the same in conftest.py

* Updated the failed test file path

* Updated the workflow and job names for TPU

* Added TPU job in actions.yml

* Added TPU config print line

* Added condition to TPU test job so that it gets triggered only after the PR review is approved

* Added TPU specific tests in seperate workflow with PR approval condition

* Removed pull_request condition for workflow execution and renamed the workflow

---------

Co-authored-by: hertschuh <1091026+hertschuh@users.noreply.github.com>",341,2,343,https://github.com/keras-team/keras/commit/2730d5214f6804358f667f2ef5ad76e704a08a1b
keras-team/keras,bfde12b2671478bd4e2939af646ffc62589ffa04,shashaka,2025-11-11 23:41:11+00:00,"Implement empty_like function in keras.ops (#21840)

* Add empty_like function

* Update empty_like function for openvino

* correct function based on gemini advice

* Update the code based on review",98,0,98,https://github.com/keras-team/keras/commit/bfde12b2671478bd4e2939af646ffc62589ffa04
keras-team/keras,4d30a7f488d47aebec582e4db9331409df246909,hertschuh,2025-11-10 23:20:55+00:00,"Fix failing sklearn tests following release of pytest 9.0. (#21843)

A regression in pytest 9.0 causes `unittest.SkipTest` exceptions to not be handled anymore.",4,0,4,https://github.com/keras-team/keras/commit/4d30a7f488d47aebec582e4db9331409df246909
keras-team/keras,19ca9c1d7e02410acb353de8748f7cb9240dad30,khanhkhanhlele,2025-11-07 22:14:10+00:00,Fix typos in some files (#21830),1,1,2,https://github.com/keras-team/keras/commit/19ca9c1d7e02410acb353de8748f7cb9240dad30
keras-team/keras,bea37c5ff5fb1b5e987d7eb08892dac31e5e064f,Abhinavexists,2025-11-06 22:43:57+00:00,"Fix noise_shape validation in keras.layers.Dropout (#21819)

* Fix noise_shape validation in keras.layers.Dropout

* updated dropout.py to validate str for noise_shape, added unit test for _vaidate_noise_shape

* Apply suggestion from @gemini-code-assist[bot]

Co-authored-by: gemini-code-assist[bot] <176961590+gemini-code-assist[bot]@users.noreply.github.com>

* fix minor code format issue

---------

Co-authored-by: gemini-code-assist[bot] <176961590+gemini-code-assist[bot]@users.noreply.github.com>",92,1,93,https://github.com/keras-team/keras/commit/bea37c5ff5fb1b5e987d7eb08892dac31e5e064f
keras-team/keras,68fb29179939e0c9a343d505ac1318fa7898517a,yashwantbezawada,2025-11-06 22:42:18+00:00,"Fix CosineDecay documentation to clarify alpha is a multiplier (#21827)

* Fix CosineDecay documentation to clarify alpha is a multiplier

The documentation incorrectly stated that learning rate decays
'to alpha', when it actually decays to 'initial_lr * alpha'.

Updated the docstring to make it clear that alpha is a fraction/
multiplier, not an absolute target value.

* Fix line length to comply with 80 char limit",4,3,7,https://github.com/keras-team/keras/commit/68fb29179939e0c9a343d505ac1318fa7898517a
keras-team/keras,b4d9c8913c35b8554e1f41144740e8286be103f5,james77777778,2025-11-06 16:46:01+00:00,"Fix `Progbar.update` when receiving list, np arrays, and tensors. (#21823)

* Fix `Progbar.update` when encountering list, np array and tensor.

* Resolve comments.",37,2,39,https://github.com/keras-team/keras/commit/b4d9c8913c35b8554e1f41144740e8286be103f5
keras-team/keras,d8e0b4a92283532e36ae9829e2be69b2e2cd194d,erahulkulkarni,2025-11-06 00:39:10+00:00,"Fix typo in CONTRIBUTING.md (#21812)

Changed from:
At this link, you'll find a list of items where ""you"" help is needed!
To:
At this link, you'll find a list of items where ""your"" help is needed!",1,1,2,https://github.com/keras-team/keras/commit/d8e0b4a92283532e36ae9829e2be69b2e2cd194d
