repo,pr_number,title,author,state,was_merged,body,created_at,closed_at,merged_at,additions,deletions,changed_files,commits,comments_count,review_comments_count
numpy/numpy,30176,BUG: Fix check of PyMem_Calloc return value.,WarrenWeckesser,closed,True,Stumbled across this while reviewing our handling of `PyMem_` allocation functions.,2025-11-07 18:03:14+00:00,2025-11-07 19:41:06+00:00,2025-11-07 19:41:06+00:00,1,1,1,1,1,0
numpy/numpy,30175,ENH: Updates for the `spin bench` command.,WarrenWeckesser,closed,True,"* Use `sys.executable` to run a Python script in the bench function.
* Expose `--factor` as a command line option for `spin bench`.

I found it useful to tweak the `--factor` option of `asv` in a recent pull request.",2025-11-07 16:24:12+00:00,2025-11-07 19:50:59+00:00,2025-11-07 19:50:59+00:00,8,3,1,2,1,0
numpy/numpy,30165,MAINT: some ``numpy.polynomial.*`` namespace pollution cleanup,jorenham,closed,True,Calling `vars` or `dir` on the `numpy.polynomial` submodules included things like `la` and `normalize_axis_index`. ,2025-11-06 16:23:03+00:00,2025-11-06 19:13:06+00:00,2025-11-06 19:13:06+00:00,29,42,8,1,0,0
numpy/numpy,30164,BUG: ``numpy.random.*`` class runtime signatures,jorenham,closed,True,"This fixes `inspect.signature` for

- `np.random.BitGenerator`
- `np.random.Generator`
- `np.random.MT19937`
- `np.random.PCG64`
- `np.random.PCG64DXSM`
- `np.random.Philox`
- `np.random.RandomState`
- `np.random.SFC64`
- `np.random.SeedSequence`
- `np.random.bit_generator.SeedlessSeedSequence`

This also fixes a typo in `bit_generator.pxd` that accidentally defined an empty unused class `np.random.bit_generator.SeedlessSequence`.

Related to #30104, #30114, #30121, #30124, #30126, #30137, #30138, #30140, #30143, #30146, #30147, and #30155",2025-11-06 15:47:48+00:00,2025-11-06 19:49:07+00:00,2025-11-06 19:49:07+00:00,129,100,9,1,1,3
numpy/numpy,30163,ENH: Add ``order`` parameter to ``np.ma.asanyarray``,jorenham,closed,True,"As discussed at yesterday's community meeting, here's the follow-up of #30057.

I shamelessly plagiarised the docstring description from the `MaskedArray` constructor docs.

Note that unlike `numpy.asanyarray`, this one uses `A` instead of `C` as default for backwards compatibility.",2025-11-06 11:04:43+00:00,2025-11-06 17:38:18+00:00,2025-11-06 17:38:18+00:00,24,7,2,2,1,0
numpy/numpy,30161,ENH: Run SWIG unit tests in CI action,rlaboiss,closed,True,"<!--         ----------------------------------------------------------------
                MAKE SURE YOUR PR GETS THE ATTENTION IT DESERVES!
                ----------------------------------------------------------------

*  FORMAT IT RIGHT:
      https://www.numpy.org/devdocs/dev/development_workflow.html#writing-the-commit-message

*  IF IT'S A NEW FEATURE OR API CHANGE, TEST THE WATERS:
      https://www.numpy.org/devdocs/dev/development_workflow.html#get-the-mailing-list-s-opinion

*  HIT ALL THE GUIDELINES:
      https://numpy.org/devdocs/dev/index.html#guidelines

*  WHAT TO DO IF WE HAVEN'T GOTTEN BACK TO YOU:
      https://www.numpy.org/devdocs/dev/development_workflow.html#getting-your-pr-reviewed
-->

This is an attempt to address issue #30131. The solution implemented follows the @rgommers' [recommendation](https://github.com/numpy/numpy/issues/30131#issuecomment-3490394942) to run the Makefile in the `tools/swig/test/` directory at the very end of the `sdist` job in the `linux.yml` workflow.

Besides the commit that adds the CI action commands, two other things needed to be fixed in the Python code of the files in the directory `tools/swig/test/test*.py`:
- Replace the deprecated method `unittest.makeSuite()` with `unittest.TestLoader().loadTestsFromTestCase()`
- Avoid errors due to negative values in `uint8`, `uint16`, `uint32` and `uint64` arrays

In my forked repository, I had to make further tweaks to the `linux.yml` workflow, in order to run the CI action. My changes yielded the expected results.

Closes: #30131",2025-11-06 06:48:01+00:00,2025-11-06 15:49:46+00:00,2025-11-06 15:49:46+00:00,82,77,9,3,1,0
numpy/numpy,30160,TYP: fix an invalid default value for `array`'s `ndmax` parameter,neutrinoceros,closed,True,fix gh-30159,2025-11-06 06:44:43+00:00,2025-11-06 11:22:30+00:00,2025-11-06 11:22:30+00:00,10,9,2,1,8,0
numpy/numpy,30158,DOC: Remove nonexistent ``order`` parameter docs of ``ma.asanyarray`` (#30057),charris,closed,True,"Backport of #30057.

An alternative would be to actually add the order parameter (but then this would still be worth backporting).
<!--         ----------------------------------------------------------------
                MAKE SURE YOUR PR GETS THE ATTENTION IT DESERVES!
                ----------------------------------------------------------------

*  FORMAT IT RIGHT:
      https://www.numpy.org/devdocs/dev/development_workflow.html#writing-the-commit-message

*  IF IT'S A NEW FEATURE OR API CHANGE, TEST THE WATERS:
      https://www.numpy.org/devdocs/dev/development_workflow.html#get-the-mailing-list-s-opinion

*  HIT ALL THE GUIDELINES:
      https://numpy.org/devdocs/dev/index.html#guidelines

*  WHAT TO DO IF WE HAVEN'T GOTTEN BACK TO YOU:
      https://www.numpy.org/devdocs/dev/development_workflow.html#getting-your-pr-reviewed
-->
",2025-11-05 23:24:03+00:00,2025-11-06 00:52:28+00:00,2025-11-06 00:52:28+00:00,0,3,1,1,0,0
numpy/numpy,30157,BLD: use scipy-openblas 0.3.30.7 (#30132),charris,closed,True,"Backport of #30132.

Fixes #30092.

Rather than update the OpenBLAS version, this PR uses a patched version of OpenBLAS that incorporate the fix from https://github.com/OpenMathLib/OpenBLAS/issues/5520. That should minimize the risk in updating the dependency so close to the new release cut-off date.

<!--         ----------------------------------------------------------------
                MAKE SURE YOUR PR GETS THE ATTENTION IT DESERVES!
                ----------------------------------------------------------------

*  FORMAT IT RIGHT:
      https://www.numpy.org/devdocs/dev/development_workflow.html#writing-the-commit-message

*  IF IT'S A NEW FEATURE OR API CHANGE, TEST THE WATERS:
      https://www.numpy.org/devdocs/dev/development_workflow.html#get-the-mailing-list-s-opinion

*  HIT ALL THE GUIDELINES:
      https://numpy.org/devdocs/dev/index.html#guidelines

*  WHAT TO DO IF WE HAVEN'T GOTTEN BACK TO YOU:
      https://www.numpy.org/devdocs/dev/development_workflow.html#getting-your-pr-reviewed
-->
",2025-11-05 23:19:52+00:00,2025-11-05 23:58:19+00:00,2025-11-05 23:58:19+00:00,3,3,2,1,0,0
numpy/numpy,30155,"BUG, DOC: ``ndarray`` dunder method runtime signatures and missing docs",jorenham,closed,True,"This fixes `inspect.signature` for 

- `ndarray`
- `ndarray.__array_function__`
- `ndarray.__array_ufunc__`
- `ndarray.__complex__`
- `ndarray.__format__`
- `ndarray.__sizeof__`
- `ndarray.__reduce_ex__`
- `ndarray.__array_namespace__`
- `ndarray.__dlpack__`
- `ndarray.__dlpack_device__`
- `ndarray.to_device`

Docstrings *were* also missing for these methods.

Related to #30104, #30114, #30121, #30124, #30126, #30137, #30138, #30140, #30143, #30146, and #30147.",2025-11-05 23:00:58+00:00,2025-11-06 04:42:50+00:00,2025-11-06 04:42:50+00:00,125,35,3,1,1,0
numpy/numpy,30154,BUG: update requires to requirements in numpy.multiarray see #30142,athurdekoos,closed,True,"### Summary:
In response to a [failure in compilation](https://github.com/numpy/numpy/actions/runs/19056916192/job/54429123184?pr=30142#step:5:901) of #30142 where the `requires` identifier is reserved in C++-20. 

### What was done:
`requires` has been replaced with `requirements` to match [documentation](https://numpy.org/devdocs/reference/c-api/array.html#c.PyArray_CheckFromAny). 

Closes #30151 ",2025-11-05 21:49:34+00:00,2025-11-06 03:44:00+00:00,2025-11-06 03:44:00+00:00,9,9,2,1,1,0
numpy/numpy,30153,BUG: decref on error in PyArray_NewFromDescr (#30152),mdavidsaver,closed,True,"Attempt to address #30152 by reordering the error tests.  Check `descr == NULL` first, then add a `Py_DECREF(descr);` on error to the following test.",2025-11-05 19:30:09+00:00,2025-11-06 05:08:32+00:00,2025-11-06 05:08:32+00:00,5,4,1,1,2,0
