repo,pr_number,title,author,state,was_merged,body,created_at,closed_at,merged_at,additions,deletions,changed_files,commits,comments_count,review_comments_count
pandas-dev/pandas,63044,ENH: Add solution guidance to IntCastingNaNError message (#62838),ADITYA-kus,closed,True,"This implements the error message improvement suggested by @mroeschke in issue #62838 .

closes #62838

The new error message provides actionable guidance by suggesting:
- Replace or remove non-finite values
- Use nullable integer type (Int64) that supports missing values

This helps beginners discover the proper pandas way to handle this common situation.
",2025-11-08 09:09:47+00:00,2025-11-08 17:43:09+00:00,2025-11-08 17:43:09+00:00,3,1,1,2,1,0
pandas-dev/pandas,63042,DOC: Correct grammar issues about a/an usage,star1327p,closed,True,"Correct grammar issues about a/an usage.   

I searched for patterns such as ``"" a a""`` and ``"" an c""`` in the GitHub codebase, because they are most likely to contain grammatical mistakes. Then I manually reviewed which ones needed to be changed.  These patterns are not exhaustive, so a few issues of (""a"" vs ""an"") still remain.

- [ ] closes #xxxx (Replace xxxx with the GitHub issue number)
- [ ] [Tests added and passed](https://pandas.pydata.org/pandas-docs/dev/development/contributing_codebase.html#writing-tests) if fixing a bug or adding a new feature
- [ ] All [code checks passed](https://pandas.pydata.org/pandas-docs/dev/development/contributing_codebase.html#pre-commit).
- [ ] Added [type annotations](https://pandas.pydata.org/pandas-docs/dev/development/contributing_codebase.html#type-hints) to new arguments/methods/functions.
- [ ] Added an entry in the latest `doc/source/whatsnew/vX.X.X.rst` file if fixing a bug or adding a new feature.
",2025-11-08 06:24:15+00:00,2025-11-08 15:19:01+00:00,2025-11-08 15:19:01+00:00,16,16,14,1,1,0
pandas-dev/pandas,63039,Backport PR #62626 on branch 2.3.x (CI: ensure to trigger the sdist/wheel builds on release event),meeseeksmachine,closed,True,Backport PR #62626: CI: ensure to trigger the sdist/wheel builds on release event,2025-11-08 01:41:10+00:00,2025-11-08 01:46:18+00:00,2025-11-08 01:46:18+00:00,2,0,1,1,0,0
pandas-dev/pandas,63038,"REF: Release gil in is_range_indexer, is_sequence_range",mroeschke,closed,True,Just to be polite.,2025-11-07 22:14:06+00:00,2025-11-08 00:59:50+00:00,2025-11-08 00:59:50+00:00,14,10,1,1,3,0
pandas-dev/pandas,63036,CLN: Replace get_option(infer_string) with using_string_dtype,mroeschke,closed,True,It appears this is the option we're using more consistently,2025-11-07 19:06:46+00:00,2025-11-07 21:03:07+00:00,2025-11-07 21:03:07+00:00,8,8,3,1,1,0
pandas-dev/pandas,63035,DOC: Remove ..versionadded directives before 2.0,mroeschke,closed,True,"- [ ] xref #51071 (Replace xxxx with the GitHub issue number)

Removes most of them, except the templated ones
",2025-11-07 18:48:59+00:00,2025-11-08 20:40:33+00:00,2025-11-08 20:40:33+00:00,19,522,43,7,1,7
pandas-dev/pandas,63033,DEPR: verify_integrity in DataFrame.set_index,jbrockmendel,closed,True,"- [x] closes #62919 (Replace xxxx with the GitHub issue number)
- [x] [Tests added and passed](https://pandas.pydata.org/pandas-docs/dev/development/contributing_codebase.html#writing-tests) if fixing a bug or adding a new feature
- [ ] All [code checks passed](https://pandas.pydata.org/pandas-docs/dev/development/contributing_codebase.html#pre-commit).
- [ ] Added [type annotations](https://pandas.pydata.org/pandas-docs/dev/development/contributing_codebase.html#type-hints) to new arguments/methods/functions.
- [x] Added an entry in the latest `doc/source/whatsnew/vX.X.X.rst` file if fixing a bug or adding a new feature.
",2025-11-07 18:11:28+00:00,2025-11-07 19:43:03+00:00,2025-11-07 19:43:03+00:00,25,5,3,1,1,0
pandas-dev/pandas,63026,Remove the @doc decorator from pandas/core/accessor.py,xingyubobo33333,closed,True,"This PR removes the @doc decorator from pandas/core/accessor.py and replaces it with inlined docstrings.
This PR addresses the issue DOC: Replace @appender, @substitution, @doc with inlined docstrings (#62437).
",2025-11-07 14:43:44+00:00,2025-11-08 18:49:55+00:00,2025-11-08 18:49:55+00:00,199,12,1,6,1,4
pandas-dev/pandas,63025,TST: Add regression tests for enlarging MultiIndex with None keys (GH…,wdyy20041223,closed,True,"…#59153)

- [ ] closes #59153 
- [ ] [Tests added and passed](https://pandas.pydata.org/pandas-docs/dev/development/contributing_codebase.html#writing-tests) if fixing a bug or adding a new feature
- [ ] All [code checks passed](https://pandas.pydata.org/pandas-docs/dev/development/contributing_codebase.html#pre-commit).
- [ ] Added [type annotations](https://pandas.pydata.org/pandas-docs/dev/development/contributing_codebase.html#type-hints) to new arguments/methods/functions.
- [ ] Added an entry in the latest `doc/source/whatsnew/vX.X.X.rst` file if fixing a bug or adding a new feature.
",2025-11-07 14:38:46+00:00,2025-11-08 17:40:06+00:00,2025-11-08 17:40:06+00:00,18,0,1,7,4,2
pandas-dev/pandas,63021,DOC: Replace @Appender with inline docstring in io\sas\sas_xport.py,IngramBJ,closed,True,"Updated the read method documentation to include parameters and return type.

- [ ] xref #62437 (Replace xxxx with the GitHub issue number)
- [ ] [Tests added and passed](https://pandas.pydata.org/pandas-docs/dev/development/contributing_codebase.html#writing-tests) if fixing a bug or adding a new feature
- [x] All [code checks passed](https://pandas.pydata.org/pandas-docs/dev/development/contributing_codebase.html#pre-commit).
- [ ] Added [type annotations](https://pandas.pydata.org/pandas-docs/dev/development/contributing_codebase.html#type-hints) to new arguments/methods/functions.
- [ ] Added an entry in the latest `doc/source/whatsnew/vX.X.X.rst` file if fixing a bug or adding a new feature.
",2025-11-07 12:17:08+00:00,2025-11-07 17:21:25+00:00,2025-11-07 17:21:25+00:00,12,16,1,1,1,0
pandas-dev/pandas,63015,"REF: inline array_to_datetime64 cases, update tests",jbrockmendel,closed,True,This is a logic-neutral refactor to trim the diff in an upcoming PR implementing resolution inference in array_to_timedelta64.,2025-11-06 21:36:46+00:00,2025-11-06 23:01:04+00:00,2025-11-06 23:01:04+00:00,96,107,10,5,1,0
pandas-dev/pandas,63011,DOC: Correct return type for `DataFrame.hist`,MarcoGorelli,closed,True,"The current return type that's documented is too broad, I think. It looks to me like it's always a 2D ndarray of `Axes`

Indeed, `make_subplots` is called with `squeeze=False`

https://github.com/pandas-dev/pandas/blob/d18f9a20ff58e39cca70ede022c8fd4981a31d5f/pandas/plotting/_matplotlib/hist.py#L549-L552

and in there there's:

https://github.com/pandas-dev/pandas/blob/edf00e953e6e185345fbc488cd9a963ab2d59d58/pandas/plotting/_matplotlib/tools.py#L319-L321

- [ ] closes #xxxx (Replace xxxx with the GitHub issue number)
- [ ] [Tests added and passed](https://pandas.pydata.org/pandas-docs/dev/development/contributing_codebase.html#writing-tests) if fixing a bug or adding a new feature
- [ ] All [code checks passed](https://pandas.pydata.org/pandas-docs/dev/development/contributing_codebase.html#pre-commit).
- [ ] Added [type annotations](https://pandas.pydata.org/pandas-docs/dev/development/contributing_codebase.html#type-hints) to new arguments/methods/functions.
- [ ] Added an entry in the latest `doc/source/whatsnew/vX.X.X.rst` file if fixing a bug or adding a new feature.
",2025-11-06 17:02:10+00:00,2025-11-06 19:08:45+00:00,2025-11-06 19:08:45+00:00,2,2,1,1,1,0
pandas-dev/pandas,63009,TST: Add regression tests for setitem with different string storage (…,wdyy20041223,closed,True,"…GH#52987)

- [ ] closes #52987 
- [ ] [Tests added and passed](https://pandas.pydata.org/pandas-docs/dev/development/contributing_codebase.html#writing-tests) if fixing a bug or adding a new feature
- [ ] All [code checks passed](https://pandas.pydata.org/pandas-docs/dev/development/contributing_codebase.html#pre-commit).
- [ ] Added [type annotations](https://pandas.pydata.org/pandas-docs/dev/development/contributing_codebase.html#type-hints) to new arguments/methods/functions.
- [ ] Added an entry in the latest `doc/source/whatsnew/vX.X.X.rst` file if fixing a bug or adding a new feature.

This test  ensures that:

Python string Series can receive values from PyArrow string Series

PyArrow string Series can receive values from Python string Series

Missing values (None/pd.NA) are correctly handled during cross-type assignments",2025-11-06 14:02:55+00:00,2025-11-06 16:25:19+00:00,2025-11-06 16:25:19+00:00,30,0,1,1,1,0
pandas-dev/pandas,63005,STY: Add strict=True in zip() in \core,invain01,closed,True,"This PR applies the ruff B905 rule to the files in  \core.

## Modified Files
1. pandas/core/reshape/concat.py
2. pandas/core/reshape/encoding.py
3. pandas/core/reshape/melt.py
4. pandas/core/reshape/pivot.py
",2025-11-06 04:17:04+00:00,2025-11-06 18:53:28+00:00,2025-11-06 18:53:28+00:00,8,6,3,5,3,7
pandas-dev/pandas,63003,TST: Add regression test for pivot on empty frame with period dtype (GH62705),Nithurshen,closed,True,"- [X] closes #62705
- [X] [Tests added and passed](https://pandas.pydata.org/pandas-docs/dev/development/contributing_codebase.html#writing-tests) if fixing a bug or adding a new feature
- [X] All [code checks passed](https://pandas.pydata.org/pandas-docs/dev/development/contributing_codebase.html#pre-commit).
- [X] Added [type annotations](https://pandas.pydata.org/pandas-docs/dev/development/contributing_codebase.html#type-hints) to new arguments/methods/functions.
- [ ] Added an entry in the latest `doc/source/whatsnew/vX.X.X.rst` file if fixing a bug or adding a new feature.
---

This PR adds a regression test for issue #62705.

The original issue reported a `TypeError: Cannot interpret 'period[D]' as a data type` when `.pivot()` was called on an **empty** DataFrame where the `values` column had a `PeriodDtype`.

As noted in the issue, this bug was already fixed on `main`, but it lacked a specific regression test to prevent this from reoccurring.

This new test:
1.  Creates an empty DataFrame: `pd.DataFrame({""index"": [], ""columns"": [], ""values"": []})`
2.  Casts the `values` column to a `PeriodDtype` (parametrized for ""D"", ""M"", ""Q"", ""Y"").
3.  Calls `.pivot()` and asserts that the operation completes without an error.
4.  Validates that the resulting empty pivoted DataFrame has the correct empty `float64` index/columns and the original `PeriodDtype` for its data, which matches the behavior of the fixed pivot operation.",2025-11-06 01:45:02+00:00,2025-11-06 16:36:27+00:00,2025-11-06 16:36:27+00:00,17,0,1,2,1,0
