repo,pr_number,title,author,state,was_merged,body,created_at,closed_at,merged_at,additions,deletions,changed_files,commits,comments_count,review_comments_count
tensorflow/tensorflow,104018,Automated Code Change,copybara-service[bot],closed,True,"Automated Code Change
",2025-11-08 12:13:39+00:00,2025-11-08 13:48:57+00:00,2025-11-08 13:48:57+00:00,29,27,2,1,0,0
tensorflow/tensorflow,104015,Automated Code Change,copybara-service[bot],closed,True,"Automated Code Change
",2025-11-08 10:18:05+00:00,2025-11-08 12:08:03+00:00,2025-11-08 12:08:02+00:00,63,54,11,1,0,0
tensorflow/tensorflow,104011,Automated Code Change,copybara-service[bot],closed,True,"Automated Code Change
",2025-11-08 08:04:08+00:00,2025-11-08 09:33:14+00:00,2025-11-08 09:33:14+00:00,43,43,12,1,0,0
tensorflow/tensorflow,104009,Automated Code Change,copybara-service[bot],closed,True,"Automated Code Change
",2025-11-08 05:48:55+00:00,2025-11-08 07:42:21+00:00,2025-11-08 07:42:21+00:00,156,150,4,1,0,0
tensorflow/tensorflow,104008,Automated Code Change,copybara-service[bot],closed,True,"Automated Code Change
",2025-11-08 05:48:49+00:00,2025-11-08 07:30:35+00:00,2025-11-08 07:30:35+00:00,38,38,12,1,0,0
tensorflow/tensorflow,104001,Automated Code Change,copybara-service[bot],closed,True,"Automated Code Change
",2025-11-08 04:36:13+00:00,2025-11-08 06:24:20+00:00,2025-11-08 06:24:20+00:00,2,4,1,1,0,0
tensorflow/tensorflow,103993,[StableHLO Optim] Coalesce adjacent concatenated splats,copybara-service[bot],closed,True,"[StableHLO Optim] Coalesce adjacent concatenated splats

`Pattern: concat(splat_a, splat_a, X) -> concat(splat_a_resize, X)`
",2025-11-07 23:16:24+00:00,2025-11-08 16:27:57+00:00,2025-11-08 16:27:57+00:00,154,2,1,1,0,0
tensorflow/tensorflow,103992,[XLA] Migrate dot_operation_test to use PJRT,copybara-service[bot],closed,True,"[XLA] Migrate dot_operation_test to use PJRT
",2025-11-07 22:58:18+00:00,2025-11-07 23:31:31+00:00,2025-11-07 23:31:31+00:00,360,441,2,1,0,0
tensorflow/tensorflow,103986,Allow DCE side-effecting custom calls,copybara-service[bot],closed,True,"Allow DCE side-effecting custom calls
",2025-11-07 21:28:06+00:00,2025-11-08 02:02:56+00:00,2025-11-08 02:02:55+00:00,9,1,1,1,0,0
tensorflow/tensorflow,103982,Add `--repo_env=HERMETIC_CUDA_UMD_VERSION=12.8.1` for nightly TF wheel builds.,copybara-service[bot],closed,True,"Add `--repo_env=HERMETIC_CUDA_UMD_VERSION=12.8.1` for nightly TF wheel builds.

This change is made to pass the correct UMD version (`570.124.06`) for KMD version on the machine (`570.86.15`)
",2025-11-07 19:29:47+00:00,2025-11-07 21:06:27+00:00,2025-11-07 21:06:27+00:00,1,1,1,1,1,0
tensorflow/tensorflow,103981,downgrade error message to warning,copybara-service[bot],closed,True,"downgrade error message to warning

Reverts 08cfeaf6e86a411d0f9605a33dc528fdc93db072
",2025-11-07 19:16:37+00:00,2025-11-07 20:05:22+00:00,2025-11-07 20:05:22+00:00,2,1,1,1,0,0
tensorflow/tensorflow,103963,Reverts 3f575133c691e8bbecc7e1aa36b20c6535c6b57e,copybara-service[bot],closed,True,"Reverts 3f575133c691e8bbecc7e1aa36b20c6535c6b57e
",2025-11-07 16:25:48+00:00,2025-11-07 19:38:11+00:00,2025-11-07 19:38:11+00:00,78,4,4,1,0,0
tensorflow/tensorflow,103939,Introduce `GpuAotCompilationResult`,copybara-service[bot],closed,True,"Introduce `GpuAotCompilationResult`

This will be created by the gpu_compiler, and used for the be used for the new AOT / runtime split logic.
",2025-11-07 14:26:19+00:00,2025-11-07 16:39:15+00:00,2025-11-07 16:39:14+00:00,299,0,3,1,0,0
tensorflow/tensorflow,103938,Automated Code Change,copybara-service[bot],closed,True,"Automated Code Change
",2025-11-07 14:21:37+00:00,2025-11-07 16:06:51+00:00,2025-11-07 16:06:50+00:00,31,30,3,1,0,0
tensorflow/tensorflow,103936,[XLA:GPU] Make BufferDebugLog generic over the entry type.,copybara-service[bot],closed,True,"[XLA:GPU] Make BufferDebugLog generic over the entry type.

The goal of the cl is to make BufferDebugLog class entry type independent.
In the nearest future we would like to extend amount of data we collect on the device side by different buffer debug kernels. Checksum kernel needs only one value while NaN checker (would be renamed as FloatChecker in the future) requires a few more values.

This change templates `ReadFromDevice` and `GetDeviceEntries` in `BufferDebugLog` to allow different entry types to be used in the debug log. The `RequiredSizeForEntries` function is also updated to accept the size of each entry.
",2025-11-07 14:07:27+00:00,2025-11-07 23:24:13+00:00,2025-11-07 23:24:13+00:00,120,73,11,1,0,0
tensorflow/tensorflow,103935,Automated Code Change,copybara-service[bot],closed,True,"Automated Code Change
",2025-11-07 14:00:22+00:00,2025-11-07 15:54:32+00:00,2025-11-07 15:54:31+00:00,47,45,7,1,0,0
tensorflow/tensorflow,103932,[XLA][codegen] Move checking if triton supports an HLO instruction outside of code emission,copybara-service[bot],closed,True,"[XLA][codegen] Move checking if triton supports an HLO instruction outside of code emission
",2025-11-07 13:06:00+00:00,2025-11-07 15:29:09+00:00,2025-11-07 15:29:09+00:00,37,18,1,1,0,0
tensorflow/tensorflow,103931,Automated Code Change,copybara-service[bot],closed,True,"Automated Code Change
",2025-11-07 12:58:05+00:00,2025-11-07 14:44:25+00:00,2025-11-07 14:44:25+00:00,6,6,1,1,0,0
tensorflow/tensorflow,103928,Automated Code Change,copybara-service[bot],closed,True,"Automated Code Change
",2025-11-07 11:53:01+00:00,2025-11-07 13:39:00+00:00,2025-11-07 13:39:00+00:00,631,588,39,1,0,0
tensorflow/tensorflow,103927,Automated Code Change,copybara-service[bot],closed,True,"Automated Code Change
",2025-11-07 11:51:32+00:00,2025-11-07 13:49:42+00:00,2025-11-07 13:49:42+00:00,390,366,17,1,0,0
