repo,pr_number,title,author,state,was_merged,body,created_at,closed_at,merged_at,additions,deletions,changed_files,commits,comments_count,review_comments_count
microsoft/vscode,276308,Git - add extension API to get short stats for staged changes,lszomoru,closed,True,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-11-08 19:44:23+00:00,2025-11-08 20:43:44+00:00,2025-11-08 20:43:44+00:00,13,0,4,1,0,0
microsoft/vscode,276287,agent sessions - UI tweaks,bpasero,closed,True,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-11-08 15:43:11+00:00,2025-11-08 16:22:58+00:00,2025-11-08 16:22:58+00:00,33,14,4,3,0,0
microsoft/vscode,276284,Reduce use of explicit `any` type (#274723),bpasero,closed,True,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-11-08 15:25:28+00:00,2025-11-08 16:22:14+00:00,2025-11-08 16:22:14+00:00,9,18,8,1,0,2
microsoft/vscode,276278,Chat: sign-out/sign-in flow very broken (fix #276246),bpasero,closed,True,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-11-08 15:11:49+00:00,2025-11-08 15:33:04+00:00,2025-11-08 15:33:04+00:00,11,17,1,1,0,1
microsoft/vscode,276270,Remove any from platform/terminal,Tyriar,closed,True,"Part of #274723

<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-11-08 13:38:03+00:00,2025-11-08 15:09:33+00:00,2025-11-08 15:09:33+00:00,21,21,7,2,0,2
microsoft/vscode,276267,Remove any from platform/externalTerminal,Tyriar,closed,True,"Part of #274723

<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-11-08 13:04:26+00:00,2025-11-08 13:23:52+00:00,2025-11-08 13:23:52+00:00,2,3,2,1,0,0
microsoft/vscode,276266,Simplify light/dark icon check,Tyriar,closed,True,"Following up on #276155

<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-11-08 12:53:53+00:00,2025-11-08 13:53:37+00:00,2025-11-08 13:53:37+00:00,12,8,1,1,0,0
microsoft/vscode,276250,Chat - add `files` to session statistics,lszomoru,closed,True,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-11-08 07:42:09+00:00,2025-11-08 08:43:09+00:00,2025-11-08 08:43:09+00:00,10,2,5,2,4,0
microsoft/vscode,276239,agent session view setting cleanup,rebornix,closed,True,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-11-08 04:23:48+00:00,2025-11-08 05:05:49+00:00,2025-11-08 05:05:49+00:00,0,1,1,1,0,0
microsoft/vscode,276207,Git - only dispose worktree repository after it has been deleted,lszomoru,closed,True,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-11-07 21:29:18+00:00,2025-11-07 21:55:41+00:00,2025-11-07 21:55:41+00:00,6,5,1,1,0,1
